Ano;Data_Referencia;Empresa;CNPJ;Demonstracao;Categoria;Metrica;Rotulo;Codigo_Conta;Descricao_CVM;Valor_R$_mil;Valor_R$_milhoes;Moeda;Escala_Original;Versao_DFP;Fonte
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Total;Ativo total;1;Ativo Total;38384616,0;38384,616;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Circulante;Ativo circulante;1.01;Ativo Circulante;24509810,0;24509,81;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Caixa;Caixa e equivalentes;1.01.01;Caixa e Equivalentes de Caixa;2566218,0;2566,218;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Contas_a_Receber;Contas a receber;1.01.03;Contas a Receber;5650759,0;5650,759;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Estoques;Estoques;1.01.04;Estoques;9112214,0;9112,214;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Total;Passivo total e patrimônio líquido;2;Passivo Total;38384616,0;38384,616;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Circulante;Passivo circulante;2.01;Passivo Circulante;15257189,0;15257,189;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_CP;Empréstimos e financiamentos de curto prazo;2.01.04;Empréstimos e Financiamentos;407968,0;407,968;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_LP;Empréstimos e financiamentos de longo prazo;2.02.01;Empréstimos e Financiamentos;6384904,0;6384,904;REAL;MIL;1;DFP 2021 - CVM
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Patrimonio_Liquido;Patrimônio líquido consolidado;2.03;Patrimônio Líquido Consolidado;11261231,0;11261,231;REAL;MIL;1;DFP 2021 - CVM
